symbol,updated,updated_time
NTPC#,True,2019-10-11 14:45
PETRONET#,True,2019-10-11 14:45
ONGC#,True,2019-10-11 14:45
ORISSAMINE#,True,2019-10-11 14:45
PFC#,True,2019-10-11 14:45
PAGEIND#,True,2019-10-11 14:45
POWERGRID#,True,2019-10-11 14:45
PNB#,True,2019-10-11 14:45
PIDILITE#,True,2019-10-11 14:45
PEL#,True,2019-10-11 14:45
PRESTIGE#,True,2019-10-11 14:45
PVR#,True,2019-10-11 14:45
RALLIS#,True,2019-10-11 14:45
RBLBANK#,True,2019-10-11 14:45
RELINFRA#,True,2019-10-11 14:45
RAYMOND#,True,2019-10-11 14:45
RELIANCE#,True,2019-10-11 14:45
RECLTD#,True,2019-10-11 14:45
RAMCOCEM#,True,2019-10-11 14:45
SAIL#,True,2019-10-11 14:45
RELCAPITAL#,True,2019-10-11 14:45
SRTRANSFIN#,True,2019-10-11 14:45
SBILIFE#,True,2019-10-11 14:45
SHREECEM#,True,2019-10-11 14:45
SBIN#,True,2019-10-11 14:45
STAR#,True,2019-10-11 14:45
SRF#,True,2019-10-11 14:45
SOBHA#,True,2019-10-11 14:45
STRTECH#,True,2019-10-11 14:45
SIEMENS#,True,2019-10-11 14:45
SURYAROSNI#,True,2019-10-11 14:45
TATAELXSI#,True,2019-10-11 14:45
TATAMOTORS#,True,2019-10-11 14:45
SUNPHARMA#,True,2019-10-11 14:45
TATAMTRDVR#,True,2019-10-11 14:45
SUNTV#,True,2019-10-11 14:45
TATAGLOBAL#,True,2019-10-11 14:45
TATACOMM#,True,2019-10-11 14:45
TATACHEM#,True,2019-10-11 14:45
TATASTEEL#,True,2019-10-11 14:45
TITAN#,True,2019-10-11 14:45
TCS#,True,2019-10-11 14:45
TORNTPOWER#,True,2019-10-11 14:45
THERMAX#,True,2019-10-11 14:45
TVSMOTOR#,True,2019-10-11 14:45
TORNTPHARM#,True,2019-10-11 14:45
TECHM#,True,2019-10-11 14:45
TATAPOWER#,True,2019-10-11 14:45
UBL#,True,2019-10-11 14:45
VEDL#,True,2019-10-11 14:45
UNIONBANK#,True,2019-10-11 14:45
UPL#,True,2019-10-11 14:45
ULTRACEMCO#,True,2019-10-11 14:45
VOLTAS#,True,2019-10-11 14:45
UJJIVAN#,True,2019-10-11 14:45
WELCORP#,True,2019-10-11 14:45
VGUARD#,True,2019-10-11 14:45
WHEELS#,True,2019-10-11 14:45
YESBANK#,True,2019-10-11 14:45
ZEEL#,True,2019-10-11 14:45
ACC,True,2019-10-11 14:45
ADANIPORTS,True,2019-10-11 14:45
ADANIPOWER,True,2019-10-11 14:45
WIPRO#,True,2019-10-11 14:45
ADANIENT,True,2019-10-11 14:45
WOCKPHARMA#,True,2019-10-11 14:45
AMARAJABAT,True,2019-10-11 14:45
APOLLOTYRE,True,2019-10-11 14:45
AUROPHARMA,True,2019-10-11 14:45
ASHOKLEY,True,2019-10-11 14:45
ARVIND,True,2019-09-26 14:55
ASIANPAINT,True,2019-10-11 14:45
AXISBANK,True,2019-10-11 14:45
AMBUJACEM,True,2019-10-11 14:45
APOLLOHOSP,True,2019-10-11 14:45
BAJAJAUTO,True,2019-10-11 14:45
BEL,True,2019-10-11 14:45
BATAINDIA,True,2019-10-11 14:45
BALKRISIND,True,2019-10-11 14:45
BERGEPAINT,True,2019-10-11 14:45
BANKINDIA,True,2019-10-11 14:45
BANKBARODA,True,2019-10-11 14:45
BAJFINANCE,True,2019-10-11 14:45
BAJAJFINSV,True,2019-10-11 14:45
BHARATFORG,True,2019-10-11 14:45
BPCL,True,2019-10-11 14:45
BRITANNIA,True,2019-10-11 14:45
BOSCHLTD,True,2019-10-11 14:45
BIOCON,True,2019-10-11 14:45
BHEL,True,2019-10-11 14:45
CADILAHC,True,2019-10-11 14:45
CANBK,True,2019-10-11 14:45
CASTROLIND,True,2019-10-11 14:45
BHARTIARTL,True,2019-10-11 14:45
CESC,True,2019-10-11 14:45
CENTURYTEX,True,2019-10-11 14:45
CHENNPETRO,True,2019-06-24 08:45
COALINDIA,True,2019-10-11 14:45
CIPLA,True,2019-10-11 14:45
CUMMINSIND,True,2019-10-11 14:45
CONCOR,True,2019-10-11 14:45
CHOLAFIN,True,2019-10-11 14:45
COLPAL,True,2019-10-11 14:45
DHFL,True,2019-09-26 14:55
DISHTV,True,2019-10-11 14:45
DABUR,True,2019-10-11 14:45
DIVISLAB,True,2019-10-11 14:45
