symbol,updated,updated_time
ABB#,True,2020-06-15 14:45
ADANIPORTS#,True,2020-06-15 14:45
ADANIPOWER#,True,2020-06-15 14:45
ADANIENT#,True,2020-06-15 14:45
ACC#,True,2020-06-15 14:45
AJANTPHARM#,True,2020-06-15 14:45
ALKEM#,True,2020-06-15 14:45
AMBUJACEM#,True,2020-06-15 14:45
AMARAJABAT#,True,2020-06-15 14:45
APLLTD#,True,2020-06-15 14:45
APOLLOHOSP#,True,2020-06-15 14:45
APOLLOTYRE#,True,2020-06-15 14:45
ASHOKLEY#,True,2020-06-15 14:45
AUROPHARMA#,True,2020-06-15 14:45
BAJAJAUTO#,True,2020-06-15 14:45
AXISBANK#,True,2020-06-15 14:45
ASIANPAINT#,True,2020-06-15 14:45
BAJFINANCE#,True,2020-06-15 14:45
BANKINDIA#,True,2020-02-14 14:45
BANKBARODA#,True,2020-02-14 14:45
BATAINDIA#,True,2020-06-15 14:45
BANCOINDIA#,True,2020-02-14 14:45
BALKRISIND#,True,2020-06-15 14:45
BEML#,True,2020-02-14 14:45
BEL#,True,2020-06-15 14:45
BERGEPAINT#,True,2020-06-15 14:45
BHARATFORG#,True,2020-06-15 14:45
BHEL#,True,2020-06-15 14:45
BIOCON#,True,2020-06-15 14:45
BOMDYEING#,True,2020-02-14 14:45
BHARTIARTL#,True,2020-06-15 14:45
BOROSIL#,True,2020-02-14 14:45
BOSCH#,True,2020-02-14 14:45
BRITANNIA#,True,2020-06-15 14:45
BPCL#,True,2020-06-15 14:45
CADILAHC#,True,2020-06-15 14:45
CASTROLIND#,True,2020-06-15 14:45
CANBK#,True,2020-06-15 14:45
CEATLTD#,True,2020-06-15 14:45
CDSL#,True,2020-06-15 14:45
CENTURYTEX#,True,2020-06-15 14:45
CESC#,True,2020-06-15 14:45
CIPLA#,True,2020-06-15 14:45
COALINDIA#,True,2020-06-15 14:45
COLPAL#,True,2020-06-15 14:45
CROMPTON#,True,2020-06-15 14:45
CONCOR#,True,2020-06-15 14:45
COROMANDEL#,True,2020-06-15 14:45
CUMMINSIND#,True,2020-06-15 14:45
DCBBANK#,True,2020-06-15 14:45
DABUR#,True,2020-06-15 14:45
DIVISLAB#,True,2020-06-15 14:45
DISHTV#,True,2020-02-14 14:45
DMART#,True,2020-06-15 14:45
DLF#,True,2020-06-15 14:45
DREDGECORP#,True,2020-06-15 14:45
DRREDDY#,True,2020-06-15 14:45
EICHERMOT#,True,2020-06-15 14:45
ENGINERSIN#,True,2020-02-14 14:45
BAJAJFINSV#,True,2020-06-15 14:45
EQUITAS#,True,2020-02-14 14:45
ESCORTS#,True,2020-06-15 14:45
FEDERALBNK#,True,2020-06-15 14:45
EXIDEIND#,True,2020-06-15 14:45
GAIL#,True,2020-06-15 14:45
GESHIP#,True,2020-06-15 14:45
GICHSGFIN#,True,2020-06-15 14:45
